BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
03HG00242,Hạt nêm CHIN-SU ngọt thanh x5 xương hầm cô đặc & rau củ MN KM 1chai NM Nam Ngư 750ml - 16gói x 400gr,Goi,Thu,Thu,Goi,FG,0.00812626,0.024784512,42,7,16,16,,Active
BGTP00029,Thùng carton hủ tiếu CHIN-SU Nam Vang (có thịt) 137gr (420x280x155)mm,Cai,,Cai,,PG,,,800,,1,,,Active
BNNA00462,Nắp nhựa cổ dầu đỏ NM Nam Ngư cá cơm 2L,Cai,,Cai,,PG,,,,,1,,,Active
993400027,BTP chi phí chuồng trống_H09,UNI,,UNI,,IP,,,,,1,,,Active
99HH00821,BTP nước cốt Sườn thịt hầm,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
04MS01141,Màng nêm mì nấu Kokomi Đại 90 vị Bò rau thơm 90gr (1000m x 140mm x 48µm),Cuo,Met,Met,,PG,9.5E-06,0.00004466,"72,000",,0,,,Active
99NE00299,Gói nêm mì nấu Kokomi Đại 90 vị Bò rau thơm 90gr,Goi,,Goi,,IP,,,,,1,,,Active
03HG00243,Hạt nêm CHIN-SU ngọt thanh x5 xương hầm cô đặc & rau củ MB KM 1chai NM Nam Ngư 750ml - 16gói x 400gr,Goi,Thu,Thu,Goi,FG,0.00812626,0.024784512,42,7,16,16,,Active
993400026,BTP chi phí chuồng trống_H08,UNI,,UNI,,IP,,,,,1,,,Active
BNMC00329,Màng co nắp bình NK Quang Hanh không gas (96mm x 73mm x 37.5µm),Kgs,,Kgs,,PG,0.001,,,,1,,,Active
BNMC00330,Màng co vòi bình NK Quang Hanh không gas,Kgs,,Kgs,,PG,0.001,,,,1,,,Active
09NC00088,Ngũ cốc VCF XK TQ 14bịch x 20gói x 25gr,Bic,Thu,Thu,Goi,FG,7.98E-03,0.03468,40,,14,280,Y,Active
BGTT00607,Thùng carton xốt muối ớt CHIN-SU đỏ 500gr (208x170x164)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCH00728,Chai PET xốt muối ớt CHIN-SU 370ml,Cai,,Cai,,PG,,,,,1,,,Active
BNCH00729,Chai PET xốt muối ớt CHIN-SU 750ml,Cai,,Cai,,PG,,,,,1,,,Active
BGTT00609,Thùng carton xốt muối ớt CHIN-SU đỏ 1kg (207x181x207)mm,Cai,,Cai,,PG,,,,,1,,,Active
BGST02500,Nhãn decal xốt muối ớt CHIN-SU xanh mặt trước 500gr,Cai,Cuo,Cuo,,PG,,,,,"2,500",,,Active
BGTT00606,Thùng carton xốt muối ớt CHIN-SU xanh 500gr (208x170x164)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNTU00278,Túi ngoài ngũ cốc DD VCF XK TQ 25gr (255x305)mm,Cai,,Cai,,PG,,,"120,000",,1,,,Active
BGTT00608,Thùng carton xốt muối ớt CHIN-SU xanh 1kg (207x181x207)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00859,Quạt đứng Asia Vina (có remote),Cai,,Cai,,POSM,0.0068,0.096475875,20,,1,,,Active
BNMC00315,Màng co nắp bình Vihawa 20L (100mm x 90mm x 30µm),Cai,,Cai,,PG,,,,,1,,,Active
03.BAMD,BMD 10%,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
BNMC00317,Màng co nắp bình Vĩnh Hảo tự nhiên 20L (100mm x 90mm x 30µm),Cai,,Cai,,PG,,,"625,000",,1,,,Active
BNCH00109,Bình nhựa 20L không vòi Ø55.5,Cai,,Cai,,PG,,0.03742,64,,1,,,Active
04MS00997,Màng miến CHIN-SU Gà hầm măng (có thịt) 123gr (1500m x 380mm x 46µm),Cuo,Met,Met,,PG,,,,,0,,,Active
03NM00523,NC Nam Ngư Siêu tiết kiệm 4can x 4.8lít,Can,Thu,Thu,Can,FG,0.02368,0.035154,27,9,4,4,Y,Active
BNMC00316,Màng co vòi bình Vihawa 20L (85mm x 40mm x 30µm),Cai,,Cai,,PG,,,,,1,,,Active
BNMC00318,Màng co vòi bình Vĩnh Hảo tự nhiên 20L (85mm x 40mm x 30µm),Cai,,Cai,,PG,,,"1,500,000",,1,,,Active
