BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
99HH01564,BTP xốt tôm kho tàu,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
BGTM00940,Thùng carton mì Omachi Spaghetti Bò XK Mỹ 91gr (420x340x130)mm,Cai,,Cai,,PG,0.00037,0.002166,"1,040",,1,,,Active
AMV100014,Màng MPET cuộn 12000m x 995mm x 12µm,Cuo,Met,Met,,RM,,,,,0,,,Active
AKNS00129,Bã hèm bia,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
97KM00605,Voucher CoopMart 50.000đ,Cai,,Cai,,POSM,,,,,1,,,Active
BNMC00554,Màng bloc mì Omachi Spaghetti Bò XK Mỹ 91gr (1000m x 620mm x 60µm),Cuo,Met,Met,,PG,3.78E-05,0.000069696,"24,000",,0,,,Active
99M200256,BTP2 màng cà phê Wake up Sài Gòn,Met,M2,M2,,IP,,,,,1,,,Active
99M100378,BTP1 màng cà phê Wake up Sài Gòn,Met,M2,M2,,IP,,,,,1,,,Active
97KM00580,Thùng đá Wake Up 247 - 28Lit,Cai,,Cai,,POSM,0.00326,0.06063,,,1,,,Active
97KM04002,Thùng carton TO CHIN-SU 1kg,Cai,,Cai,,POSM,0.00028,0.0019942,,,1,,,Active
97KM00629,Standee bia Sư Tử Trắng (600x1600)mm,Cai,,Cai,,POSM,0.0034,0.02004,48,,1,,,Active
08CF00441,Cà phê Wake up Hương chồn bao nhôm 10bịch x 1kg,Bic,Thu,Thu,Bic,FG,0.0108,0.0221,60,,10,10,Y,Active
BNTU00233,Túi mì Omachi Xốt Spaghetti vị Bò KM 1chai TOCS MN 250gr (420x215)mm x XH 100mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00630,Móc treo Sư Tử Trắng - Miền Nam (400x500)mm,Cai,,Cai,,POSM,0.000135,0.0011583,,,1,,,Active
97KM00597,Thẻ cào Viettel mệnh giá 20.000VND,Cai,,Cai,,POSM,,,,,1,,,Active
PRMS00302,Premix PR00302,Kgs,,Kgs,,RM,0.001,,300,,1,,,Active
PRMS00303,Premix PR00303,Kgs,,Kgs,,RM,0.001,,500,,1,,,Active
99C100041,BTP1 Cà phê Robusta RC sau rang,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
99PH00080,Phôi mì Omachi Spagetti 91gr,Cai,,Cai,,IP,,,,,1,,,Active
99C200030,BTP Cà phê sau nghiền,Kgs,,Kgs,,IP,0.001,,800,,1,,,Active
97KM00595,Thau nhựa viền 4T5 - TLT,Cai,,Cai,,POSM,0.000416,0.00255552,600,,1,,,Active
99C100042,BTP1 Cà phê RD sau rang,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
PRMS00304,Premix PR00304,Kgs,,Kgs,,RM,0.001,,500,,1,,,Active
99C300111,BTP Cà phê hòa tan sau ly tâm 5BH,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99C300112,BTP Cà phê hòa tan sau trích ly 5BH,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
BGST00534,Sticker chai NM Chinsu XK Russia (35x55)mm,Cai,,Cai,,PG,,,,,1,,,Active
99PH00081,Phôi mì Omachi,Cai,,Cai,,IP,,,,,1,,,Active
AKNS00135,Cà phê nhân Robusta CB,Kgs,,Kgs,,RM,0.001,,"1,800",,1,,,Active
BGST00536,Sticker thùng NM Chinsu XK Russia (85x52)mm,Cai,,Cai,,PG,,,,,1,,,Active
99PH00083,Phôi mì Omachi XK,Cai,,Cai,,IP,,,,,1,,,Active
99PH00084,Phôi mì Omachi Xốt Bò Hầm 80gr,Cai,,Cai,,IP,,,,,1,,,Active
BNTU00238,Túi nhôm không in cà phê 1kg (170mm x 280mm x 118µm x XH 100mm),Cai,,Cai,,PG,,,"48,600",,1,,,Active
ABMD00044,Đường caramel 74BX - 202,Kgs,,Kgs,,RM,0.001,0.001116267,500,,1,,,Active
06KM00140,Vá canh inox Đệ Nhị,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00598,Thẻ cào Viettel mệnh giá 100.000VND,Cai,,Cai,,POSM,,,,,1,,,Active
03OT00507,Xốt muối ớt CHIN-SU xanh 8chai x 500gr,Cha,Thu,Thu,Cha,FG,0.00445731,0.00692064,192,24,8,8,Y,Active
97KM00627,Thẻ cào Mobifone mệnh giá 10.000 VND,Cai,,Cai,,POSM,,,,,1,,,Active
BGOG00103,Ống giấy Ø76mm x 206mm x 12mm,Cai,,Cai,,PG,,,,,1,,,Active
99C100040,BTP1 Cà phê Arabica AC sau rang,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
97KM00607,Áo thun Euro,Cai,,Cai,,POSM,0.000233333,0.00058,"2,100",,1,,,Active
99C500077,BTP Cà phê hòa tan 5BH,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
02OM00375,"Mì Omachi Lẩu Tôm chua cay KM ""Mười phân vẹn mười"" 30gói x 79gr",Goi,Thu,Thu,Goi,FG,2.71E-03,0.01626,96,,30,30,Y,Active
BGST00524,Phiếu Đăng ký bảo hành,Cai,,Cai,,PG,,,,,1,,,Active
97KM00603,Bình trữ cà phê 500ml,Cai,,Cai,,POSM,,0.0009,,,1,,,Active
07NM00043,Nước mắm cốt 16N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
97KM00601,Leaflet Vĩnh Hảo và Wake up 247 (Khổ A4),Cai,,Cai,,POSM,0.000022,0.000115,,,1,,,Active
07NM00042,Nước mắm cốt 15N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
07NM00044,Nước mắm cốt 17N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
97KM00628,Thẻ cào Vinaphone mệnh giá 10.000 VND,Cai,,Cai,,POSM,,,,,1,,,Active
04MS00540,"Màng mì Omachi Sườn KM ""Mười phân vẹn mười"" (1800m x 290mm x 46µm)",Cuo,Met,Met,,PG,,,,,0,,,Active
BGST00526,Tem decal số hotline trung tâm bảo hành CDN (60x25)mm,Cai,,Cai,,PG,,,,,1,,,Active
07NM00041,Nước mắm cốt 14N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
97KM00631,Ly đĩa Espresso - SAGASO,Bo,,Bo,,POSM,,,,,1,,,Active
BGNA00272,Nhãn decal giấy NM Chinsu Nam Ngư 500ml mặt sau 10N XK (33.5x125)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00632,Ly đĩa Cappucino - SAGASO,Bo,,Bo,,POSM,,,,,1,,,Active
97KM00633,"Vật phẩm, phụ kiện - SAGASO",Cai,,Cai,,POSM,,,,,1,,,Active
99CF00009,BTP Cà phê De Nam,Vie,,Vie,,IP,,,"2,000",,1,,,Active
BGNA00271,Nhãn decal giấy NM Chinsu Nam Ngư 500ml mặt trước 10N XK (32.5x138)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00596,Sổ tay Vĩnh Hảo (150 x 200)mm,Cai,,Cai,,POSM,0.000444444,0.000916667,,,1,,,Active
07NM00045,Nước mắm cốt 18N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
07NM00046,Nước mắm cốt 19N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
04MS00542,"Màng mì Omachi XBH KM ""Mười phân vẹn mười"" (1800m x 290mm x 46µm)",Cuo,Met,Met,,PG,,,,,0,,,Active
97KM00600,Poster Wake up 247 (400 x 600)mm,Cai,,Cai,,POSM,0.00006,0.000288,"3,950",,1,,,Active
BGNA00270,Nhãn giấy NM Chinsu Nam Ngư 500ml mặt sau 10N XK (33.5x125)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00604,Ly nhựa đong 100ml,Cai,,Cai,,POSM,,0.00025,,,1,,,Active
AKNS00134,Cà phê nhân Robusta chế biến ướt,Kgs,,Kgs,,RM,0.001,,"1,800",,1,,,Active
BGST00523,Phiếu Bảo hành,Cai,,Cai,,PG,,,,,1,,,Active
BGST00525,Sách Hướng dẫn sử dụng máy CDN,Cai,,Cai,,PG,,,,,1,,,Active
97KM00602,Ly thủy tinh 230ml,Cai,,Cai,,POSM,0.0002777,0.0006,,,1,,,Active
06KM00137,Tô sứ Hàn Quốc 6inch,Cai,,Cai,,POSM,,,,,1,,,Active
07NM00038,Nước mắm cốt 11N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
07NM00039,Nước mắm cốt 12N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
07NM00040,Nước mắm cốt 13N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
07NM00037,Nước mắm cốt 10N,Lit,Kgs,Kgs,,IP,,,"1,210",,1,,,Active
04MS00541,"Màng mì Omachi Lẩu Tôm chua cay KM ""Mười phân vẹn mười"" (1800m x 290mm x 46µm)",Cuo,Met,Met,,PG,,,,,0,,,Active
08CF00353,Cà phê Phinn 2in1 XK WDT 24hộp x 15gói x 17gr,Hop,Thu,Thu,,FG,7.99E-03,0.030096,40,,24,,Y,Active
99M200255,BTP2 màng cháo Komi thịt bằm KM bong bóng,Met,M2,M2,,IP,,,,,1,,,Active
99M100369,BTP1 màng cháo Komi thịt bằm KM bong bóng,Met,M2,M2,,IP,,,,,1,,,Active
ATDV00035,Thịt vai heo đông lạnh,Kgs,,Kgs,,RM,0.001,0.00188955,800,,1,,,Active
ATNS00074,Trứng gà size L,Cai,,Cai,,RM,,,,,1,,,Active
APMA00056,Erythrosine – FD&C Red No.3 (INS 127),Kgs,,Kgs,,RM,0.001,0.00325,250,,1,,,Active
APPG00102,"CaCl2, Min 95%",Kgs,,Kgs,,RM,0.001,,"1,000",,1,,,Active
APPG00101,V - 03,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AMYE00032,Mực Yellow 2002 OPP (Dy Khang),Kgs,,Kgs,,RM,0.001,,,,1,,,Active
08BI00006,"Bia Sư Tử Trắng KM 1ly thủy tinh ""Vì Bạn Cạn Bia"" 24lon x 330ml",Lon,Thu,Thu,Lon,FG,8.55E-03,0.0131982,100,,24,24,,Active
97KM00502,Xe máy Honda Wave Alpha,Chi,,Chi,,POSM,,,,,1,,,Active
99C500072,BTP Cà phê hòa tan 5B,Kgs,,Kgs,,IP,0.001,0.00581,450,,1,,,Active
PRMS00213,Premix PR00213,Kgs,,Kgs,,RM,0.001,0.000216,525,,1,,,Active
99M100370,BTP1 màng Mì sagami hải sản chua cay Miền Nam,Met,M2,M2,,IP,,,,,1,,,Active
AHMB00015,Hạt nhựa MBW 9102,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
97KM00366,Muỗng inox vuông,Cai,,Cai,,POSM,0.000024,0.0000045,,,1,,,Active
AHBO00126,Bột tôm sú – MS2,Kgs,,Kgs,,RM,0.001,0.001683,500,,1,,,Active
ABBB00035,Bột kem thực vật AFI Vina-cereal 102,Kgs,,Kgs,,RM,0.001,,"1,000",,1,,,Active
94C600008,BTP Cà phê VCF hòa tan 3in1 Gold gu đậm RUS,Kgs,,Kgs,Goi,IP,0.001,,,,1,50,,Active
97KM00455,Decal dán kệ bia (500x330)mm,Cai,,Cai,,POSM,0.000143,0.00033,,,1,,,Active
97KM00246,Hộp giấy 6 lon Lemona (190x120)mm,Cai,,Cai,,POSM,0.000031,0.00007467,,,1,,,Active
97KM00248,Hộp quà khách hàng lẻ Masan Tết 2015 (135x250x65)mm,Cai,,Cai,,POSM,0.000065,0.0001638,,,1,,,Active
PRMS00201,Premix PR00201,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
06KM00102,Muỗng trái tim KM ngũ cốc VCF,Cai,,Cai,,POSM,,,,,1,,,Active
06KM00122,Vá nhựa Tam Thái Tử,Cai,,Cai,,POSM,0.00003,,,,1,,,Active
ABBB00034,Bột kem sữa Golden Plus 180,Kgs,,Kgs,,RM,0.001,0.00173,"1,000",,1,,,Active
97KM00464,Bảng kệ Masan shop (1020x270)mm,Bo,,Bo,,POSM,0.00047,0.0027,,,1,,,Active
97KM00475,Decal dán kệ bia (600x740)mm,Cai,,Cai,,POSM,,,,,1,,,Active
BGOG00097,Ống giấy (xử lý lại) Ø76mm x 292mm x 8.6mm,Cai,,Cai,,RM,,,,,1,,,Active
97KM00242,Nồi cơm điện Tiger 1.8Lit (JBV-B18W),Cai,,Cai,,POSM,0.005,0.04,,,1,,,Active
97KM00240,Chén thuỷ tinh TUL-5B,Cai,,Cai,,POSM,0.000222222,0.0006,,,1,,,Active
97KM00241,Đĩa thủy tinh 942BF,Cai,,Cai,,POSM,0.000451128,0.0005604,,,1,,,Active
04MS00478,Màng nêm Omachi chua cay hương Tôm (1800m x 96mm x 39µm),Cuo,Met,Met,,PG,,,,,0,,,Active
04MS00477,Màng dầu Omachi chua cay hương Tôm MN (1300mm x 96mm x 62µm),Cuo,Met,Met,,PG,,,,,0,,,Active
PRMS00204,Premix PR00204,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
97KM00266,Kệ sắt trưng bày giải khát Masan Shop 2015 (700 x 1400 x 300)mm,Cai,,Cai,,POSM,0.013,0.294,,,1,,,Active
94C300005,BTP Cà phê hòa tan 1C01 RUS,Kgs,,Kgs,,IP,0.001,0.003993056,450,,1,,,Active
94C300004,BTP Cà phê hòa tan HH02 RUS,Kgs,,Kgs,,IP,0.001,0.003993056,450,,1,,,Active
94C300013,BTP Cà phê hòa tan C501 RUS,Kgs,,Kgs,,IP,0.001,0.003993056,450,,1,,,Active
97KM00494,Kệ nước mắm Nam Ngư 3 tầng (310x950x515)mm,Cai,,Cai,,POSM,0.00175,0.075835,32,,1,,,Active
97KM00495,Băng rôn Nam Ngư (2000x800)mm,Cai,,Cai,,POSM,0.0005,0.00000533,,,1,,,Active
03NM00462,Nước chấm Nam Ngư Đệ Nhị (MT) 15chai x 900ml,Cha,Thu,Thu,Cha,FG,0.0162,0.019586448,65,,15,15,Y,Active
06KM00112,Chén chấm sứ nhỏ Chinsu,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00461,"Lò vi sóng Sanyo 23Lit , 1000W",Cai,,Cai,,POSM,,,,,1,,,Active
08VH028,Nước khoáng Vĩnh Hảo không gas tự nhiên 24chai x 500ml,Cha,Thu,Thu,Cha,FG,0.014,0.022099176,60,10,24,24,Y,Active
97CH026,Chén sứ NL01,Cai,,Cai,,POSM,,,,,1,,,Active
97KM071,Ca cách nhiệt L1031 1000ml,Cai,,Cai,,POSM,,,,,1,,,Active
97KM072,Ca cách nhiệt H761 1000ml,Cai,,Cai,,POSM,,,,,1,,,Active
97KM073,Đĩa sứ 8 inch,Cai,,Cai,,POSM,0.000383333,4.774E-07,"2,400",,1,,,Active
97KM074,Tô sứ 6 inch,Cai,,Cai,,POSM,,,,,1,,,Active
97KM075,Chén sứ 4.5 inch,Cai,,Cai,,POSM,,,,,1,,,Active
97KM076,Túi vải không dệt (36x38)mm,Cai,,Cai,,POSM,,,,,1,,,Active
97KM077,Bộ bàn ăn 25 sản phẩm Daisy trắng loại 2,Bo,,Bo,,POSM,,,,,1,,,Active
97KM078,Bộ trà 0.35L Daisy trắng loại 2,Bo,,Bo,,POSM,,,,,1,,,Active
97KM079,Bộ trà 0.3L Daisy trắng loại 2,Bo,,Bo,,POSM,,,,,1,,,Active
97KM080,Kệ sắt trưng bày Bạch Kim (800 x 600 x 1580)mm,Cai,,Cai,,POSM,0.018,0.7584,,,1,,,Active
99C1003,BTP Hạt Cà phê nguyên liệu RH3,Kgs,,Kgs,,IP,0.001,0.00234,800,,1,,,Active
99C1005,BTP hạt cà phê nguyên liệu Sơn La AH1,Kgs,,Kgs,,IP,0.001,0.00234,800,,1,,,Active
99C1006,BTP hạt cà phê nguyên liệu Sơn La AH2,Kgs,,Kgs,,IP,0.001,0.00234,800,,1,,,Active
99C1008,BTP hạt cà phê nguyên liệu Sơn La AH4,Kgs,,Kgs,,IP,0.001,0.00234,800,,1,,,Active
99C2018,BTP Cà phê hạt rang RH2,Kgs,,Kgs,,IP,0.001,0.00416,450,,1,,,Active
04MS266,Màng mì Kokomi Hương Gà sa tế 167 (2000m x 270mm x 39µm),Cuo,Met,Met,,PG,,,,,0,,,Active
04MS412,Màng mì Omachi Spaghetti (1800m x 310mm x 47µm),Cuo,Met,Met,,PG,,,,,0,,,Active
06KM054,Túi vải không dệt (29.5x37)mm,Cai,,Cai,,POSM,,,,,1,,,Active
06KM055,Ván trượt nhựa,Cai,,Cai,,POSM,,,,,1,,,Active
08VH011,Nước uống đóng chai Vihawa 1bình x 20lít,Bin,,Bin,Bin,FG,0.02009,0.03742,32,16,1,1,Y,Active
08VH012,Nước uống đóng chai Vihawa (vòi) 1bình x 20lít,Bin,,Bin,Bin,FG,0.02009,0.03742,32,16,1,1,Y,Active
08VH027,Nước khoáng Vĩnh Hảo không gas tự nhiên 24chai x 350ml,Cha,Thu,Thu,Cha,FG,9.50E-03,0.01620432,91,13,24,24,Y,Active
02KK007,Mì Kokomi Tôm chua cay XK Cambodia 30gói x 65gr,Goi,Thu,Thu,Goi,FG,2.04E-03,0.01087988,117,,30,30,Y,Active
02KK009,Mì Kokomi Tôm chua cay XK Cambodia 100gói x 65gr,Goi,Thu,Thu,Goi,FG,0.0068,0.036853872,36,,100,100,Y,Active
03NM076,NM Nam Ngư XK 18chai x 750ml,Cha,Thu,Thu,Cha,FG,0.0171,0.0265392,65,,18,18,,Active
03NM202,Nước chấm Nam Ngư đệ nhị 15chai x 900ml,Cha,Thu,Thu,Cha,FG,0.0162,0.019586448,65,13,15,15,Y,Active
03NT042,NT Tỏi ớt Chinsu XK Czech chai bầu 12chai x 250ml,Cha,Thu,Thu,Cha,FG,3.80E-03,8.61E-03,200,,12,12,,Active
99HH011,BTP ớt muối,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99HH028,BTP nước cốt xương thịt,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99HH086,BTP dầu lỏng ngò gai,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99M1317,BTP1 màng nêm cháo Komi Tôm,Met,M2,M2,,IP,,,,,1,,,Active
99NM847,BTP8 NM Nam Ngư MN,Lit,,Lit,,IP,,,,,1,,,Active
ABTB065,Vảy ngũ cốc TB02-KC,Kgs,,Kgs,,RM,0.001,0.00425,490,,1,,,Active
ABTB066,Bột ca cao GP280-11,Kgs,,Kgs,,RM,0.001,0.00176,500,,1,,,Active
ABVI004,Cà cô đặc loại 1 (36 - 38ºBx),Kgs,,Kgs,,RM,0.001,0.001376182,950,,1,,,Active
APHC005,Xút nước,Kgs,,Kgs,,RM,0.001,,"1,350",,1,,,Active
APHC006,Xút vảy,Kgs,,Kgs,,RM,0.001,0.00091,500,,1,,,Active
APHC010,Proxitan,Kgs,,Kgs,,RM,0.001,0.000989,960,,1,,,Active
APPG004,Potassium sorbate (INS 202),Kgs,,Kgs,,RM,0.001,0.002679,750,,1,,,Active
APPG008,Sodium tripolyphosphate (INS 451i),Kgs,,Kgs,,RM,0.001,0.0011792,"1,000",,1,,,Active
APPG028,Keltrol Advanced Performance F - Xanthan Gum (INS 415),Kgs,,Kgs,,RM,0.001,,,,1,,,Active
ABVI008,Chiết xuất ớt - Clearcap super soluble capsicum,Kgs,,Kgs,,RM,0.001,0.00228,900,,1,,,Active
ABVI013,Calcium,Kgs,,Kgs,,RM,0.001008,0.0012768,500,,1,,,Active
ABVI016,Hỗn hợp premix MS Edrink,Kgs,,Kgs,,RM,0.001,0.0012,480,,1,,,Active
AEGH033,Keo HB Fuller - PWL 5084,Kgs,,Kgs,,RM,0.001065,0.0013777,,,1,,,Active
AHBO020,Hương Salmon,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHBO030,Bột gia vị hương bò hầm GV 362129LC,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHBO044,Bột Tôm sú,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHBO046,Hương thịt GF100-5,Kgs,,Kgs,,RM,0.001,0.0028224,500,,1,,,Active
AHBO047,Bột hương bò hầm GV 384341LC,Kgs,,Kgs,,RM,0.001,0.002132513,500,,1,,,Active
AHBO048,Bột thịt gà,Kgs,,Kgs,,RM,0.001,0.002109,500,,1,,,Active
AHBO097,Hương thịt 594783 CB,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHBO103,Hương heo RQ 391-025-1,Kgs,,Kgs,,RM,0.001,,600,,1,,,Active
AHNU134,Hương thịt 491233,Kgs,,Kgs,,RM,0.001,0.001568,600,,1,,,Active
AMOR018,Mực  PET Orange 53 (Dy Khang),Kgs,,Kgs,,RM,0.001,,,,1,,,Active
APHC003,Acid glutamic,Kgs,,Kgs,,RM,0.001,,500,,1,,,Active
APHC004,Acid Clohydric,Kgs,,Kgs,,RM,0.001,0.00094,800,,1,,,Active
99NM848,BTP8 NM Nam Ngư MB,Lit,,Lit,,IP,,,,,1,,,Active
99RA047,Gói rau mì OMC Xốt bò hầm 80gr,Goi,,Goi,,IP,,,,,1,,,Active
99TO126,BTP1 tương ớt Chinsu nội địa miền Nam,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99TO127,BTP1 Tỏi ngố ngâm acid 5%,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99TO208,BTP2 tương ớt Chinsu XK Nga,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99TO209,BTP2 tương ớt cao cấp Chinsu nội địa,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99VT144,BTP Phôi chai nhựa 18.1gr,Kgs,Cai,Cai,,IP,1.81159E-05,,,,0,,,Active
ABBB016,Bột kem thực vật KK35 Kerry,Kgs,,Kgs,,RM,0.001,0.001596,750,,1,,,Active
ABBB018,Bột kem thực vật 32D Kievit,Kgs,,Kgs,,RM,0.001,0.00151,750,,1,,,Active
ABBB023,Bột kem thực vật Premium 161 AFI,Kgs,,Kgs,,RM,0.001,0.00187,"1,000",,1,,,Active
ABBB025,Bột kem thực vật Premium 171 AFI,Kgs,,Kgs,,RM,0.001,0.00188,"1,000",,1,,,Active
ABMD035,Bột Traditional Caramelised Sugar,Kgs,,Kgs,,RM,0.001,0.00176384,500,,1,,,Active
ABMD037,Đường Fructose - Krystar 300,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
ABNC001,Nước chế biến thực phẩm,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
99C5032,BTP Cà phê hòa tan 6B loại B,Kgs,,Kgs,,IP,0.001,0.00506,450,,1,,,Active
99C5035,BTP Cà phê hòa tan 4C01 loại B,Kgs,,Kgs,,IP,0.001,0.00581,450,,1,,,Active
99C5038,BTP Cà phê hòa tan 9C01 loại B,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
99C5039,BTP Cà phê hòa tan HH02 loại B,Kgs,,Kgs,,IP,0.001,0.00399,450,,1,,,Active
99C5040,BTP Cà phê hòa tan 1C01 loại B,Kgs,,Kgs,,IP,0.001,0.00506,450,,1,,,Active
99C5044,BTP Cà phê hòa tan 4C02 loại B,Kgs,,Kgs,,IP,0.001,0.00506,450,,1,,,Active
99C6001,BTP Cà phê hòa tan 3 in 1 - Nhãn Vàng,Kgs,,Kgs,,IP,0.001,0.00581,450,,1,,,Active
99C6002,BTP Cà phê hòa tan 3 in 1 - nhãn xanh,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
9.90E+02,BTP Ngũ Cốc DD Vinacafe,Kgs,,Kgs,,IP,0.001,0.00878,200,,1,,,Active
AHNP012,Hạt nhựa Màu Đỏ L21561,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHNP014,Hạt nhựa PET phế liệu,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHNP015,Nhựa nền chống tĩnh điện TCPL-SP01,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
BGNF134,Nhãn decal (tím) bao đấu trộn cà phê sữa Phinn (70x100)mm,Cai,,Cai,,PG,0.000001071,0.00263,"1,000,000",,1,,,Active
BGNF136,"Nhãn decal (trắng) bao trộn Ngũ cốc VCF,WKHC 70x10",Cai,,Cai,,PG,0.000001071,0.00263,"1,000,000",,1,,,Active
AHNU122,Hương nước tương L208005,Kgs,,Kgs,,RM,0.001,,"1,000",,1,,,Active
AHNU127,Hương cá hồi,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AHNU129,Hương ngò gai 591907 C16,Kgs,,Kgs,,RM,0.001,0.00151424,500,,1,,,Active
AKNS058,Ngò rí Trung Quốc sấy,Kgs,,Kgs,,RM,0.001,0.008256,300,,1,,,Active
AKNS062,Tỏi lát sấy,Kgs,,Kgs,,RM,0.001,,240,,1,,,Active
AKNS068,Ngò gai sấy (3x3)mm,Kgs,,Kgs,,RM,0.001,0.009675,160,,1,,,Active
AKNS070,Thảo quả khô,Kgs,,Kgs,,RM,0.001,0.003654,200,,1,,,Active
AKNS078,Rong biển sấy,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AKNS081,Hạt cà phê thóc Arabica Sơn La loại 2,Kgs,,Kgs,,RM,0.001,0.00365,"1,200",,1,,,Active
AKNS113,Vắt phở chữ nhật,Cai,,Cai,,RM,0.00005,,,,1,,,Active
AMB1039,Màng BOPP cuộn 12000m x 1095mm x 19µm,Cuo,Met,Met,,RM,,,,,0,,,Active
AMB1040,Màng BOPP cuộn 12000m x 1095mm x 18µm,Cuo,Met,Met,,RM,,,,,0,,,Active
ATNS013,Rau ngò gai tươi,Kgs,,Kgs,,RM,0.001,,"1,000",,1,,,Active
ATNS014,Rau om tươi,Kgs,,Kgs,,RM,0.001,,"1,000",,1,,,Active
99M1308,BTP1 màng nêm mì Kokomi Tôm & Gà sa tế,Met,M2,M2,,IP,,,,,1,,,Active
99M1309,BTP1 màng dầu mì Kokomi Tôm & Gà sa tế,Met,M2,M2,,IP,,,,,1,,,Active
99M1310,BTP1 màng mì Kokomi Tôm & Gà sa tế 167,Met,M2,M2,,IP,,,,,1,,,Active
99M2201,BTP2 màng cháo và rau B'fast gà hầm nấm,Met,M2,M2,,IP,,,,,1,,,Active
99M2222,BTP2 màng dầu mì Kokomi Tôm & Gà sa tế (ghép L2),Met,M2,M2,,IP,,,,,1,,,Active
99M3218,BTP3 màng nêm Kokomi Gà sa tế,Met,M2,M2,,IP,,,,,1,,,Active
99M3244,BTP3 màng mì Sagami Bò hầm ngũ vị,Met,M2,M2,,IP,,,,,1,,,Active
99M3247,BTP3 màng nêm Sagami Bò hầm ngũ vị,Met,M2,M2,,IP,,,,,1,,,Active
99VT128,Phôi 17.4g,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99VT129,Phôi 15.2g,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
99VT153,BTP Phôi chai nhựa (1881) 15.5gr,Cai,Kgs,Kgs,,IP,0.001290323,0.003870968,496,,65,,,Active
ABGV051,Ớt bột Hàn Quốc,Kgs,,Kgs,,RM,0.001,,500,,1,,,Active
AEGH023,Keo Rebond-L90D,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AEGH029,Keo poly methyl methacrylate NC-7018,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
AEGH040,Keo HB Fuller - PWL 5084 (Malaysia),Kgs,,Kgs,,RM,0.001,0.0013777,480,,1,,,Active
AEGH041,Keo dán nhãn WA AR-901C,Kgs,,Kgs,,PG,0.001,0.001433667,"1,176",,1,,,Active
AHBO083,Hương vanilla 059200 AGEP0551NK,Kgs,,Kgs,,RM,0.001,0.00222,600,,1,,,Active
AHBO084,Hương cà phê FLP/27754 VH,Kgs,,Kgs,,RM,0.001,0.00222,600,,1,,,Active
